cell_id,lon_idx,lat_idx,center_lon,center_lat,distribution,n_regimes,wind_speed_1,probability_1,std_1,wind_speed_2,probability_2,std_2
0,0,0,-97.23451,20.311096,unimodal,1,3.892164589541299,1.0,0.7224057690525448,,,
1,1,0,-97.050064,20.311096,unimodal,1,3.642698021539634,1.0,0.1878286754930146,,,
2,2,0,-96.8656,20.311096,unimodal,1,3.420898298906681,1.0,0.3245675518646176,,,
3,3,0,-96.68114,20.311096,unimodal,1,3.646101354083459,1.0,0.476526625350512,,,
4,4,0,-96.49669,20.311096,unimodal,1,4.362891423118163,1.0,0.1020904970107014,,,
5,5,0,-96.312225,20.311096,unimodal,1,4.123827109244065,1.0,0.2261022840577455,,,
6,6,0,-96.12778,20.311096,unimodal,1,3.607489256564046,1.0,0.1796184691005059,,,
7,7,0,-95.94331,20.311096,unimodal,1,3.5420422210899134,1.0,0.1197479719743846,,,
8,8,0,-95.75886,20.311096,unimodal,1,3.9760544030279994,1.0,0.1784346690361524,,,
9,9,0,-95.5744,20.311096,unimodal,1,4.531662118134832,1.0,0.1705778077671088,,,
10,10,0,-95.38994,20.311096,unimodal,1,4.6305617226752975,1.0,0.1029407252126266,,,
11,11,0,-95.20549,20.311096,unimodal,1,4.059875240988117,1.0,0.2353304596731898,,,
12,12,0,-95.02103,20.311096,unimodal,1,3.4495298669649914,1.0,0.1550633962401333,,,
13,13,0,-94.83657,20.311096,unimodal,1,3.2673585867560195,1.0,0.1960270961009985,,,
14,14,0,-94.652115,20.311096,unimodal,1,3.6372159581901986,1.0,0.2491423051195317,,,
15,15,0,-94.46765,20.311096,bimodal,2,2.9328076092332807,0.6944444444444444,0.08411367313371033,3.506698181830871,0.3055555555555556,0.39166489823551154
16,16,0,-94.2832,20.311096,unimodal,1,2.7676544721105274,1.0,0.1093686382231128,,,
17,17,0,-94.09874,20.311096,unimodal,1,2.718505582387297,1.0,0.146631008855211,,,
18,18,0,-93.91429,20.311096,unimodal,1,3.0517254055349414,1.0,0.1434494213828644,,,
19,19,0,-93.72983,20.311096,unimodal,1,2.3907908860981255,1.0,0.4307942638617817,,,
20,20,0,-93.545364,20.311096,unimodal,1,1.7093993843215571,1.0,0.2034689586161724,,,
21,21,0,-93.360916,20.311096,unimodal,1,1.8045532215883808,1.0,0.395535238036293,,,
22,22,0,-93.17645,20.311096,unimodal,1,2.205843139130508,1.0,0.4740311806739802,,,
23,23,0,-92.992004,20.311096,unimodal,1,2.4257797231681835,1.0,0.2130537436375351,,,
24,24,0,-92.80754,20.311096,bimodal,2,2.404670324719064,0.3333333333333333,0.20783968529469643,2.930448192270716,0.6666666666666666,0.08405411874037041
25,25,0,-92.623085,20.311096,unimodal,1,2.8390162810012054,1.0,0.1523716248283849,,,
26,26,0,-92.43863,20.311096,unimodal,1,2.777069480192804,1.0,0.1736704106198339,,,
27,27,0,-92.254166,20.311096,unimodal,1,2.5814748202261137,1.0,0.0839800456718293,,,
28,28,0,-92.06972,20.311096,unimodal,1,2.299084175348912,1.0,0.1230371965433781,,,
29,29,0,-91.885254,20.311096,unimodal,1,2.3058097277883687,1.0,0.1196767959885963,,,
30,30,0,-91.7008,20.311096,unimodal,1,2.2362634553577583,1.0,0.1320677293022106,,,
31,31,0,-91.51634,20.311096,unimodal,1,2.607460982500185,1.0,0.3024524393190814,,,
32,32,0,-91.33188,20.311096,unimodal,1,3.1357774718734603,1.0,0.1499230381455809,,,
33,33,0,-91.14743,20.311096,unimodal,1,3.1215171382125395,1.0,0.2418215247508484,,,
34,34,0,-90.96297,20.311096,bimodal,2,1.9787733187926548,0.6944444444444444,0.18338133682245547,3.026960129377034,0.3055555555555556,0.4126123901152781
35,35,0,-90.77851,20.311096,unimodal,1,1.9002811753735904,1.0,0.2455958687811159,,,
36,36,0,-90.594055,20.311096,unimodal,1,2.336552131293997,1.0,0.1865184488385697,,,
37,37,0,-90.40959,20.311096,unimodal,1,1.7735274084877146,1.0,0.1487609406380235,,,
38,38,0,-90.22514,20.311096,unimodal,1,1.0682966119634327,1.0,0.509673913489054,,,
39,39,0,-90.04068,20.311096,unimodal,1,1.1078666959067682,1.0,0.6145847821067801,,,
40,40,0,-89.85623,20.311096,unimodal,1,1.3181353013114925,1.0,0.4068433014961957,,,
41,41,0,-89.67177,20.311096,unimodal,1,1.8501375217131613,1.0,0.8143455425711426,,,
42,42,0,-89.487305,20.311096,unimodal,1,2.59466433002107,1.0,0.7257682465398698,,,
43,43,0,-89.30286,20.311096,unimodal,1,2.675455442337338,1.0,0.3775179745921532,,,
44,44,0,-89.11839,20.311096,unimodal,1,2.440699787201696,1.0,0.4680945922647266,,,
45,45,0,-88.933945,20.311096,unimodal,1,2.089660207518941,1.0,0.4775242872235959,,,
46,46,0,-88.74948,20.311096,unimodal,1,2.5803759724859745,1.0,0.248062090087917,,,
47,47,0,-88.565025,20.311096,unimodal,1,2.647856822131305,1.0,0.5859823278464462,,,
48,48,0,-88.38057,20.311096,unimodal,1,2.359756161184119,1.0,0.5771127855843462,,,
49,49,0,-88.196106,20.311096,unimodal,1,2.5062265661114314,1.0,0.1749752333291384,,,
50,0,1,-97.23451,20.47884,unimodal,1,4.049057723219485,1.0,0.3712152907006942,,,
51,1,1,-97.050064,20.47884,unimodal,1,3.609622154490315,1.0,0.2850113335072665,,,
52,2,1,-96.8656,20.47884,unimodal,1,4.530351771200138,1.0,0.4003405900142134,,,
53,3,1,-96.68114,20.47884,unimodal,1,4.789473958614035,1.0,0.2997910144816763,,,
54,4,1,-96.49669,20.47884,bimodal,2,4.431712131714881,0.6111111111111112,0.06977339394370204,4.901165068053831,0.3888888888888889,0.17621038843125325
55,5,1,-96.312225,20.47884,unimodal,1,4.4730069452810675,1.0,0.3339049130590241,,,
56,6,1,-96.12778,20.47884,unimodal,1,4.508276812460707,1.0,0.4674301402212882,,,
57,7,1,-95.94331,20.47884,unimodal,1,4.622525370376554,1.0,0.4741565719102116,,,
58,8,1,-95.75886,20.47884,bimodal,2,4.123378690284981,0.25,0.3019019940436863,4.807364288968221,0.75,0.10926953670814657
59,9,1,-95.5744,20.47884,bimodal,2,4.737027391844915,0.6111111111111112,0.07660974070740578,5.341308310300172,0.3888888888888889,0.19744163295733078
60,10,1,-95.38994,20.47884,bimodal,2,4.660851283143119,0.6666666666666666,0.056904970991570256,5.080140467055037,0.3333333333333333,0.22731289955483058
61,11,1,-95.20549,20.47884,unimodal,1,4.21677067070951,1.0,0.5728859603462007,,,
62,12,1,-95.02103,20.47884,unimodal,1,3.421315531646174,1.0,0.1292685709088755,,,
63,13,1,-94.83657,20.47884,unimodal,1,3.3318019155604923,1.0,0.2439187717606304,,,
64,14,1,-94.652115,20.47884,unimodal,1,3.607949111457698,1.0,0.365995205143575,,,
65,15,1,-94.46765,20.47884,unimodal,1,3.52899896800284,1.0,0.3872546191991249,,,
66,16,1,-94.2832,20.47884,unimodal,1,2.6970041696135088,1.0,0.365965465936467,,,
67,17,1,-94.09874,20.47884,unimodal,1,2.9299734637797266,1.0,0.2957355473774602,,,
68,18,1,-93.91429,20.47884,unimodal,1,2.941324521423431,1.0,0.157390409695396,,,
69,19,1,-93.72983,20.47884,unimodal,1,2.5257092940732275,1.0,0.5147534104060791,,,
70,20,1,-93.545364,20.47884,unimodal,1,1.9615197257749264,1.0,0.3155630099047765,,,
71,21,1,-93.360916,20.47884,unimodal,1,2.4046871462320967,1.0,0.4001993734913285,,,
72,22,1,-93.17645,20.47884,unimodal,1,2.5273456281143805,1.0,0.4578557785005101,,,
73,23,1,-92.992004,20.47884,unimodal,1,2.622933212395195,1.0,0.3855194379129618,,,
74,24,1,-92.80754,20.47884,unimodal,1,2.7818167678032872,1.0,0.4962566842578981,,,
75,25,1,-92.623085,20.47884,unimodal,1,2.8145225865338066,1.0,0.5324022371925552,,,
76,26,1,-92.43863,20.47884,unimodal,1,2.7510441941489097,1.0,0.249480895506365,,,
77,27,1,-92.254166,20.47884,unimodal,1,2.101555815746544,1.0,0.5303246946524559,,,
78,28,1,-92.06972,20.47884,unimodal,1,2.2455538769539185,1.0,0.3829051817082314,,,
79,29,1,-91.885254,20.47884,unimodal,1,2.6486218044326644,1.0,0.1902224033405739,,,
80,30,1,-91.7008,20.47884,unimodal,1,2.3243512867777345,1.0,0.2196077300726376,,,
81,31,1,-91.51634,20.47884,unimodal,1,2.026841036478034,1.0,0.2595553420782073,,,
82,32,1,-91.33188,20.47884,unimodal,1,2.605053651510241,1.0,0.1544171329463307,,,
83,33,1,-91.14743,20.47884,unimodal,1,2.8271227509682104,1.0,0.1474492048358435,,,
84,34,1,-90.96297,20.47884,bimodal,2,1.9747088068493193,0.4722222222222222,0.14053940546283247,3.117755189178324,0.5277777777777778,0.12103206425147085
