t,cell_id,agent_lon_idx,agent_lat_idx,intruder_lon_idx,intruder_lat_idx,distance,los_rad,rho_at_los,clearance,inside_EZ,mu,R,r
0.0,51,1,1,10,10,12.727922061357855,-2.356194490192345,1.7823275352319534,10.945594526125902,False,0.7147752295345792,5.0,0.0
1.0,102,2,2,10,10,11.01370849898476,-2.356194490192345,1.7759688002584828,9.237739698726278,False,0.7159102287256578,5.0,0.0
2.0,153,3,3,10,10,9.299494936611666,-2.356194490192345,1.775978845622546,7.523516090989119,False,0.7159084363795583,5.0,0.0
3.0,204,4,4,9,9,7.585281374238572,-2.356194490192345,1.7770468931413654,5.808234481097206,False,0.7157178572211919,5.0,0.0
4.0,255,5,5,9,9,5.871067811865478,-2.356194490192345,1.7757977093498283,4.0952701025156495,False,0.7159407553172049,5.0,0.0
5.0,306,6,6,9,9,4.156854249492383,-2.356194490192345,1.7746116120328799,2.3822426374595036,False,0.7161523650596799,5.0,0.0
6.0,257,7,5,9,9,4.107958702546492,-2.004742000687002,2.2912077375860593,1.8167509649604328,False,0.7156197401371821,5.0,0.0
7.0,208,8,4,9,9,4.544360477793552,-1.6843843744660214,3.1205736639475545,1.423786813845997,False,0.7157169840573612,5.0,0.0
8.0,159,9,3,8,8,5.348560516852792,-1.4400985919493796,3.984087048270352,1.3644734685824398,False,0.7154164328319842,5.0,0.0
9.0,110,10,2,8,8,6.383023347344202,-1.2670427163576463,4.669162069287932,1.71386127805627,False,0.7354472155128756,5.0,0.0
10.0,111,11,2,8,8,6.6559383403217485,-1.0826916780020688,5.580446769763743,1.0754915705580057,False,0.7154734020483183,5.0,0.0
11.0,162,12,3,8,8,6.368318162658327,-0.8223918611327582,6.682193984886665,-0.3138758222283382,True,0.7153723611684117,5.0,0.0
12.0,213,13,4,7,7,6.533490148945704,-0.5570970089272457,7.654048493837407,-1.1205583448917027,True,0.7152492039602625,5.0,0.0
13.0,264,14,5,7,7,7.120011735014549,-0.3203796828117516,8.338691523847247,-1.2186797888326986,True,0.732226829531316,5.0,0.0
14.0,265,15,5,7,7,8.22435407798083,-0.2494245086798898,8.463371368498981,-0.23901729051815046,True,0.7304731623816486,5.0,0.0
15.0,266,16,5,7,7,9.360232958141525,-0.19547041887250466,8.457433839505425,0.9027991186361,False,0.714707830311244,5.0,0.0
16.0,317,17,6,7,7,10.41175659042087,-0.058225519221522935,8.564867339123872,1.8468892512969983,False,0.7149408359840856,5.0,0.0
17.0,368,18,7,6,6,11.622067193082035,0.052186916781533824,8.565181326675978,3.0568858664060574,False,0.7150038793487828,5.0,0.0
18.0,419,19,8,6,6,12.946708950837769,0.14091679038884483,8.510743807588419,4.43596514324935,False,0.7149673906050286,5.0,0.0
19.0,470,20,9,6,6,14.354064084771933,0.212726250171441,8.44574552245003,5.908318562321902,False,0.7154857012856336,5.0,0.0
20.0,521,21,10,6,6,15.822076194881124,0.2714689713694379,7.863734186777311,7.958342008103813,False,0.6082149761548836,5.0,0.0
21.0,570,20,11,6,6,15.449757275519092,0.36084535229990894,7.676407571458307,7.773349704060785,False,0.5953038088121965,5.0,0.0
22.0,619,19,12,5,5,15.206311341948984,0.4538512092597716,7.500728432311207,7.705582909637777,False,0.5980279278109414,5.0,0.0
23.0,668,18,13,5,5,15.097973684707412,0.5490305997405124,7.69679444895171,7.401179235755702,False,0.7163357296170283,5.0,0.0
24.0,719,19,14,5,5,16.769328830878152,0.5729707611248256,7.2047341671539105,9.564594663724241,False,0.5864749059076053,5.0,0.0
25.0,768,18,15,5,5,16.82664025678853,0.6589926504185428,6.9645039317730015,9.862136325015527,False,0.5811353396864201,5.0,0.0
26.0,817,17,16,4,4,17.0070942616495,0.7438090092735359,6.943750804206113,10.063343457443386,False,0.6921722457470503,5.0,0.0
27.0,918,18,18,4,4,19.413708498984743,0.7853981633974483,6.800983096987338,12.612725401997405,False,0.6919227443004163,5.0,0.0
