t,cell_id,lon_idx,lat_idx,intruder_speed,intruder_ground_speed_expected,intruder_ground_speed_w1,intruder_ground_speed_w2,mu,R,r,heading_deg,index_speed
0.0,510,10,10,70.0,75.46961281955426,75.2626330702511,75.83580776062907,0.7147752295345792,5.0,0.0,-135.0,0.3
1.0,510,10,10,70.0,75.46961281955426,75.2626330702511,75.83580776062907,0.7159102287256578,5.0,0.0,-135.0,0.3
2.0,510,10,10,70.0,75.46961281955426,75.2626330702511,75.83580776062907,0.7159084363795583,5.0,0.0,-135.0,0.3
3.0,459,9,9,70.0,75.0753612354352,75.0753612354352,70.0,0.7157178572211919,5.0,0.0,-135.0,0.3
4.0,459,9,9,70.0,75.0753612354352,75.0753612354352,70.0,0.7159407553172049,5.0,0.0,-135.0,0.3
5.0,459,9,9,70.0,75.0753612354352,75.0753612354352,70.0,0.7161523650596799,5.0,0.0,-135.0,0.3
6.0,459,9,9,70.0,75.0753612354352,75.0753612354352,70.0,0.7156197401371821,5.0,0.0,-135.0,0.3
7.0,459,9,9,70.0,75.0753612354352,75.0753612354352,70.0,0.7157169840573612,5.0,0.0,-135.0,0.3
8.0,408,8,8,70.0,74.86355323538235,74.86355323538235,70.0,0.7154164328319842,5.0,0.0,-135.0,0.3
9.0,408,8,8,70.0,74.86355323538235,74.86355323538235,70.0,0.7156728374659814,5.0,0.0,-135.0,0.3
10.0,408,8,8,70.0,74.86355323538235,74.86355323538235,70.0,0.715007439127505,5.0,0.0,-135.0,0.3
11.0,408,8,8,70.0,74.86355323538235,74.86355323538235,70.0,0.7149705783368538,5.0,0.0,-135.0,0.3
12.0,357,7,7,70.0,75.96269841852084,75.96269841852084,70.0,0.715158032633762,5.0,0.0,-135.0,0.3
13.0,357,7,7,70.0,75.96269841852084,75.96269841852084,70.0,0.7151669239490538,5.0,0.0,-135.0,0.3
14.0,357,7,7,70.0,75.96269841852084,75.96269841852084,70.0,0.7304731623816486,5.0,0.0,-135.0,0.3
15.0,357,7,7,70.0,75.96269841852084,75.96269841852084,70.0,0.727562367531367,5.0,0.0,-135.0,0.3
16.0,357,7,7,70.0,75.96269841852084,75.96269841852084,70.0,0.7149698200055268,5.0,0.0,-135.0,0.3
17.0,306,6,6,70.0,76.42287428313226,76.42287428313226,70.0,0.7150522677663037,5.0,0.0,-135.0,0.3
18.0,306,6,6,70.0,76.42287428313226,76.42287428313226,70.0,0.7148353297865088,5.0,0.0,-135.0,0.3
19.0,306,6,6,70.0,76.42287428313226,76.42287428313226,70.0,0.6303659231547187,5.0,0.0,-135.0,0.3
20.0,306,6,6,70.0,76.42287428313226,76.42287428313226,70.0,0.7153679850227586,5.0,0.0,-135.0,0.3
21.0,306,6,6,70.0,76.42287428313226,76.42287428313226,70.0,0.6198866746736966,5.0,0.0,-135.0,0.3
22.0,255,5,5,70.0,76.07176677743354,76.07176677743354,70.0,0.7159298083960057,5.0,0.0,-135.0,0.3
23.0,255,5,5,70.0,76.07176677743354,76.07176677743354,70.0,0.5989286900218647,5.0,0.0,-135.0,0.3
24.0,255,5,5,70.0,76.07176677743354,76.07176677743354,70.0,0.5879409564418554,5.0,0.0,-135.0,0.3
25.0,255,5,5,70.0,76.07176677743354,76.07176677743354,70.0,0.6564927171384398,5.0,0.0,-135.0,0.3
26.0,204,4,4,70.0,75.68117055383763,75.68117055383763,70.0,0.6525295728099325,5.0,0.0,-135.0,0.3
27.0,204,4,4,70.0,75.68117055383763,75.68117055383763,70.0,0.5744376676732517,5.0,0.0,-135.0,0.3
28.0,204,4,4,70.0,75.68117055383763,75.68117055383763,70.0,0.5624418785999894,5.0,0.0,-135.0,0.3
